,Comment
7166,[ARM] msm: hw3d: block new client while suspended instead of failing\n\nAlso fixes a potential issue where if there were multiple clients\ntrying to open the device a random process would get it. Now the\nlast requester always gets it.\n\nChange-Id: I5ec36edd368f7a2979c64740b63dd807cc2fa857\nSigned-off-by: Dima Zavin \u003cdima@android.com\u003e\n
7167,[ARM] tegra: irq: add suspend support for IRQ controller\n\nChange-Id: I92617e6d245e4c7cf2df05b6f472a2f629eb60ff\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
7168,Fix memory leaks and corner cases in MMS app\n\nThe following problems will be fixed with these changes\n1) IndexOutOfBounds exception when viewing a slide show. mCurrentElement should\n   not exceed the size of all entries. This caused IndexOutOfBounds exception\n2) Redundant call for registerSimChangeObserver causes OOM issues.\n   SimChangeObserver is registered in onResume function. So the call in\n   onQueryComplete can be removed.\n3) Check for empty sender address before trying to get associated contact number\n   when an SMS is received\n4) Fix Cursor leak while receiving sms\n
7169,[ARM] omap: resource: Add per-resource mutex for OMAP resource framework\n\nCurrent OMAP resource fwk uses a global res_mutex\nfor resource_request and resource_release calls\nfor all the available resources.It may cause dead\nlock if resource_request/resource_release is called\nrecursively.\n\nFor current OMAP3 VDD1/VDD2 resource the change_level\nimplementation is mach-omap2/resource34xx.c/set_opp()\nwhen using resource_release to remove vdd1 constraint\nthis function may call resource_release again to release\nVdd2 constrait if target vdd1 level is less than OPP3.\nin this scenario the global res_mutex down operation\nwill be called again this will cause the second\ndown operation hang there.\n\nTo fix the problem per-resource mutex is added\nto avoid hangup when resource_request/resource_release\nis called recursively.\n\nSigned-off-by: Chunqiu Wang \u003ccqwang@motorola.com\u003e\nSigned-off-by: Mike Chan \u003cmike@android.com\u003e\n
7170,[ARM] tegra: gpio: add suspend support for GPIO controllers\n\nChange-Id: I39d215ebf60e81363d3af14e45d5b6b9b5041830\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
7171,ARM: smp_twd: Avoid recalibrating local timer\n\nChange-Id: I10af3139ecd0dc1ef54e7a8e5258ee6fb29bfb0c\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
7172,"Support for included and merged views\n\nWe have support in the layout library for handling included views\nwhere the include tag is associated with the root elements rendered in\nthat included view.\n\nHowever there are various scenarios where this is not adequate:\n1) including \u003cmerge\u003e views (see issue 13288)\n2) older layout libraries\n\nThis changeset fixes the above scenarios as well as an additional\nscenario (where rendering included content in an outer layout did not\nwork properly if the included elements were not at the root level).\n\nIt does this by moving the CanvasViewInfo construction into a set of\nfactory methods which handle various different hierarchy types of\nViewInfos. ViewInfos with null keys at the top are handled one way;\nViewInfo subtrees that introduce null keys further down are handled\nanother and it attempts to match up elements in the UiViewElementNode\nhierarchy with ViewInfo objects. If it cannot match them one to one\nit will create a single \bounding box\"" view containing all unmatched\nViewInfos. This will for example produce a single box out of included\n\u003cmerge\u003e views.\n\nThis changeset also handles multiple includes. The \""overlay mask\""\ncould earlier only handle a single include whereas the rewritten code\ncan handle multiple \""holes\"" in the mask by computing the set of\nsubrectangles remaining after punching out the include holes.\n\nChange-Id: I163413c7fc301f25c4523b0ee03690f983a05322\n"""
7173,Work on animations -- show targets\n\nChange-Id: I6a7f7d776b90d6af1bc63a7df298be110b0a0939\n
7174,USB: composite: Add usb_composite_force_reset utility to force enumeration\n\nUse this rather than calling usb_gadget_disconnect and usb_gadget_connect\ndirectly to avoid sending USB disconnect events to userspace when resetting\nthe bus.\n\nSigned-off-by: Mike Lockwood \u003clockwood@android.com\u003e\n
7175,USB: gadget: android: Remove unused function android_usb_set_connected()\n\nSigned-off-by: Mike Lockwood \u003clockwood@android.com\u003e\n
7176,Regenerate linux/netfilter_ipv6/ip6_tables.h.\n\nAdd ip6t_get_target() to kernel_known_generic_statics in\nlibc/kernel/tools/defaults.py to be able to build ip6tables.\n\nChange-Id: Iadb885db3faa85b2d0070dc2e0ac493af6e62bb6\n
7177,SDK Manager in ADT: make it possible to unload the SDK.\n\nOne of the issues when using the SDK Manager from Eclipse\nis that at least on Windows we can\u0027t upgrade the platform-tools\nor the targets since they might be locked by ADT.\nTypically dex.jar is in use and typically we have various data/res\n(ttf and xml) files used by any opened layout editor.\n\nThis adds the necessary infrastructure to know in ADT when\npackages are going to be installed. There\u0027s a crude attempt to\nsolve the dex.jar issue. However unloading the targets isn\u0027t\ndone yet.\n\nChange-Id: I5c48144501c7f39ef779bfeffdfae85a48c65a29\n
7178,DO NOT SUBMIT - Add an experimental --trace-bb option to android-configure.sh\n\nThis option allows you to enable a new mode that will dump the pc\nof each basic block being executed at runtime. This will only impact\nemulators built with android-configure.sh not the full Android build.\n\nYou must define the QEMU_START_BB_RANGES variable in your environment\nto enable the dumping. This must list address ranges that when addressed\nfor the first time will enable the display of PC address on the terminal.\n\nFor example:\n\n./android-configure.sh --trace-bb\nmake -j4\nexport QEMU_START_BB_RANGES\u003dc0000000:ffffffff\nobjs/emulator\n\nwill dump all addresses once you reach the kernel.\n\nThe format of QEMU_START_BB_RANGES is described in target-arm/helper.c\n\nChange-Id: Ifa8fcdc27a8481888fec84e47baf5e1ad9bfe699\n
7179,Improve envsetup.sh Zsh compatibility\n\nZsh fails early if first vendor/*/vendorsetup.sh cannot be expanded\nso alternative path won\u0027t be checked. Use find to list the\nvendorsetup.sh instead.\n\nChange-Id: I264ce4e7b01cbb7574a7d0c27ceed28173f1ac4f\n
7180,"SDK Manager: Rework install logic.\n\nThis should get rid of the annoying behavior on Windows\nthat prevent the \folder swap\"" operation due to the folders\nbeing locked. Cf public issue 4410.\n\nHigh level summary of the issue and the fix: the old behavior\nwas to unzip in a temp folder then rename the old folder to\nanother temp file and finally rename the new folder at the\ndesired location. This fails typically when there is a file\nindexer (e.g. anti-virus) scanning the new folder so we can\u0027t\nmove that folder.\nThe new logic is to try to move the old folder first into a\ntemp folder. If the fail move we have a lock on the old folder\nand ask the user to fix it manually. They probably have a file\nopened and it\u0027s a legit issue to report. Once that succeeded\nwe can directly unzip the archive into the final destination\nwithout using a temp unzip location thus avoiding the common\n\""indexer in progress\"" issue.\nIn case the unzip operation fails we try to copy (not move) the\nold folder back.\n\nChange-Id: I5ed67ff626532fe7cc48a45e87d1dbaf6954f28a\n"""
7181,"Add keymap files needed by the VNC implementation.\n\nThis allows us to connect to the qemu-android \core\"" emulation program\nthrough VNC easily.\n\nChange-Id: I9855d12aea39335e5c1b6958022a74b1d073d305\n"""
7182,Explicitly require low resolution time stamps on LOCAL_INSTALLED_MODULE target\n\nUse the .LOW_RESOLUTION_TIME pseudo target to explicitly state the acp operation\nrelies on proper time stamp handling.\n\nSince acp is designed to act the same on every platform it discards the\nmicrosecond-accurate and nanosecond-accurate time stamps regardless the\nunderlying file system but this creates problems when local file system do\nsupport high resolution time stamps.\n\nThe file being generated with high resolution time stamps will be newer than\nthe one installed to target because the time stamp is truncated by acp. This\nbehavior has been observed on a ext4 system.\n\nChange-Id: I8b3bc30937663f510e65d97b379a11d27c840719\n
7183,Fix Broken LinkifyTest Tests\n\nUpdated the assertions...not sure why these were marked as broken as the\ncode seems to work logically.\n\nChange-Id: I3a9e1161e8a20d51d76d159e9f050329065398e4\n
7184,Add a PulseAudio audio backend for Linux.\n\nChange-Id: Ifaf876c41ab6c7275ba7d1dc8e12139f62840cd6\n
7185,add sigsetjmp.S for x86\n\nIt adds two functions sigsetjmp and siglongjmp\nthat fix bluetooth compiling error on x86.\n\nThe patch origins from http://code.google.com/p/android-m912\n\nChange-Id: I5724dbb07e9db5fde677f4ca5b0faa737882d5da\n
7186,Making it possible to style browser using overlay\n\nToday it is not possible to style the browser in a good way\nusing the overlay mechanism. The reason for this is that the\nbrowser is missing an application theme that can be overridden.\n\nThe solution is to add a BrowserDefaultTheme that can be\noverridden using overlay.\n\nIt also adds a default theme to the AddBookmark activity enabling\nit to also be styled using the overlay mechaism.\n\nChange-Id: I61bb86e47eb38e55c73ec6e4813e9c864cf3f740\n
7187,Browser fails after mobile network -\u003e wifi changed\n\nWhen connection changes from mobile network using proxy\nto wifi during an active browser session the cashed\nproxy setting will not update resulting in an attempt\nto connect via wifi using a proxy.\n\nChange-Id: Ic6b4e356ebd3a67a032fd91300192042e89017a0\n
7188,Enable html selects to be rendered correctly even at small sizes.\n\nThe 9-patch used for comboboxes previously didn\u0027t allow the\nbox to be rendered with a smaller height than the pixelheight of\nthe graphical resource. Together with an error in the code that\nshould limit the height this caused small comboboxes to be\nrendered incorrect and impossible to press.\n\nTo solve the problem the arrow of the combobox has been broken\nout of the combobox graphical resource and put into an image of\nits own. The 9-patch area has been expanded to allow the\ngraphical resource to scale down in height. The combobox arrow\nis always placed in the vertical center and drawn after the\nscaling has occurred. The extra padding on the top and bottom of\nthe combobox has been removed as this caused layout errors\ne.g. errors with non aligned combobox text fields when the\ncombobox size was smaller than the graphical resource.\n\nChange-Id: I83947f3da38c70e889f4b0a5b6389300da081ba1\n
7189,Notification sounds not enabled at first boot\n\nAll notifications sounds were disabled until the system property\nSettings.Secure.DEVICE_PROVISIONED is set to 1. This is done by\nthe default Setup Wizard (Google application) at first boot. At\nsecond boot the notications could be heard.\nThis is changed with adding a registration mechanism to be able\nto receive updates when DEVICE_PROVISIONED is changed. Then\nnotification sounds can also be heard after first boot.\n\nChange-Id: I5c985887a2ae01aeed72eaebad80e30ebf8e278f\n
7190,Enable html selects to be rendered correctly even at small sizes.\n\nThe 9-patch used for comboboxes previously didn\u0027t allow the\nbox to be rendered with a smaller height than the pixelheight of\nthe graphical resource. Together with an error in the code that\nshould limit the height this caused small comboboxes to be\nrendered incorrect and impossible to press.\n\nTo solve the problem the arrow of the combobox has been broken\nout of the combobox graphical resource and put into an image of\nits own. The 9-patch area has been expanded to allow the\ngraphical resource to scale down in height. The combobox arrow\nis always placed in the vertical center and drawn after the\nscaling has occurred. The extra padding on the top and bottom of\nthe combobox has been removed as this caused layout errors\ne.g. errors with non aligned combobox text fields when the\ncombobox size was smaller than the graphical resource.\n\nChange-Id: Ie5c29c100672ea9bb2296ff3d8610e623ec79669\n
7191,nohz: Fix nohz ratelimit\n\nChris Wedgwood reports that 39c0cbe (sched: Rate-limit nohz) causes a\nserial console regression unresponsiveness and indeed it does. The\nbelow fixes it by not skipping out when the tick has been stopped.\n\nChange-Id: I33fbdd0ae80ccf57cb29ca8924165f79f717e01a\nReported-by: Chris Wedgwood \u003ccw@f00f.org\u003e\nTested-by: Brian Bloniarz \u003cbmb@athenacr.com\u003e\nSigned-off-by: Mike Galbraith \u003cefault@gmx.de\u003e\nSigned-off-by: Peter Zijlstra \u003ca.p.zijlstra@chello.nl\u003e\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
7192,Adding support for Bluetooth FTP profile\n\nSee the following android-contrib Google groups post for more details:\nhttp://groups.google.com/group/android-contrib/msg/f48d9d4d28b6dc59\n\nChange-Id: Iec9cc6e877a405e519436bd1573ceedb2ca58180\n\nSigned-off-by: Christian Bejram \u003cchristian.bejram@stericsson.com\u003e\n
7193,Sempiternal status bar support.\n\nPlatforms on which config_statusBarCanHide is false do not\npermit activities to hide the status bar using\nFLAG_FULLSCREEN. (The flag is allowed but it has no\neffect.) In this case FLAG_LAYOUT_IN_SCREEN and\nFLAG_LAYOUT_INSET_DECOR are similarly ignored; it is as if\nthe status bar lies outside the addressable display\nrectangle.\n\nChange-Id: I6c1d9f617693eb30ebf96072f50c1520e6b4427e\n
7194,Add ui_core_protocol.* to simulate UI-\u003eCore exchange.\n\nChange-Id: I969bb097fcd9be55d83368ddee0e377a0f0af896\n
7195,The status bar is hideable by default.\n\nSee change I6c1d9f61 for the code that uses this.\n\nChange-Id: Ifeca4eeccf1c59653cccb0b147de27cbb485c6ae\n
7196,Allow users to create shortcuts to the VPN settings on the Home Screen.\n\nChange-Id: I4bf78c78ae35ea3d485e71a46f7aecdecdbfd8a0\n
7197,Refactoring and integrating into Eclipse\n\nChange-Id: I1fd3c3828fb2474f2f7394ee2831fcd7eb675878\n
7198,"Add \nol2x0\"" early param to avoid initialisation of the L2 controller\n\nSome development platforms may have issues with this controller so\nallow easy disabling from the kernel command line. The patch also adds\na check for l2x0_disabled in the realview_pbx.c code to avoid setting\nadditional L2x0 registers.\n\nChange-Id: Icbbd3e054688811200a4c96bf7e0a81c9c0ab790\nSigned-off-by: Catalin Marinas \u003ccatalin.marinas@arm.com\u003e\n"""
7199,Fix broken plug-in\n\nChange-Id: I8a6c8bd4b3d5ce0d7bcda5154c0187c256ab3db9\n
7200,"ARM: Improve the L2 cache performance when PL310 is used\n\nWith this L2 cache controller the cache maintenance by PA and sync\noperations are atomic and do not require a \wait\"" loop or spinlocks.\nThis patch conditionally defines the cache_wait() function and locking\nprimitives (rather than duplicating the functions or file).\n\nSince L2x0 cache controllers do not work with ARMv7 CPUs the patch\nautomatically enables CACHE_PL310 when CPU_V7 is defined.\n\nChange-Id: I23e8fc326e6c42e7b36c7b67393fa91576692b48\nSigned-off-by: Catalin Marinas \u003ccatalin.marinas@arm.com\u003e\n"""
7201,net: wireless: bcm4329: Fix HW_OOB interrupt processing\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
7202,ADT GLE2: OutlinePage NPE fix.\n\nChange-Id: Ib54c5af251eb0a21fa43e9ecfa0878004516fc87\n
7203,Add Ant property when in release mode.\n\nAlso fix some NPE in usage of ISdkLog.warning\n\nChange-Id: Id2803f7692b82d0d2f5dea49f17f916509a7b205\n
7204,network: wireless: bcm4329: Set special OUI: 02:1A:11:FH:HH:HH for SoftAP\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
7205,Fixed dependency ob core data in android/help.c\n\nAlso moved along -tcpdump option\n\nChange-Id: I9fc53e0dc6a86e9a880d6127bf2da3ac1d7ec58a\n
7206,Update change log.\n\nChange-Id: I7a3fbcc9d89f5c7e50f881c0029fbba1718cfcfe\n
7207,"Bug fix 2337042 \u003cbase\u003e URL + \u003cimg\u003e URL \u003d URL that starts with \/.\""\n\nThe Android browser inserts \""/.\"" at the beginning of the URL path\nwhen processing an \u003cimg\u003e  in an HTML document with a \u003cbase\u003e tag.\nThis does not cause any errors but should be fixed to comply with\nRFC 3986 section 5.4.\n\nThis only happens at the first pass of the URL parsing at the second\npass where the base and path are parsed together this is dealt with\ncorrectly.  I am therefore fixing it by modifying the parse() method\nin KURL to check for a trailing \u0027.\u0027 at the end of the base segment.\n\nChange-Id: I2ff3e3682a13ac0f63f4b7619483d321c3042649\n"""
7208,Renaming and adding  //$NON-NLS-?$\n\nChange-Id: I9f5fa1625af4b35499cfc87996d0b3a39841ba31\n
7209,Ant support for library depending on other libraries.\n\nChange-Id: Ief8261327f7917d158fc8ad4dd4e4c3d322bbce2\n
7210,net: wireless: bcm4329: Fix interrupt enabling for level interrupt\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
7211,libstagefright : Update decode width and height with stride and slice height\n\n-Update decode width and height with stride and slice height from the OMX component.\n-In case of clips with dimensions that are not multiples of 16 OMX component\n issues a port reconfiguration to notify change in stride and slice height.\n-If this is not updated in stagefright renderer gets created with wrong\n parameters resulting in a green line on top of video.\n\nChange-Id: I426ac593516937fb994144dfa52d7d7a962d3a9b\nCRs-Fixed:246638\n
7212,Fix ddms projects in Eclipse for Windows/Cygwin.\n\nChange-Id: Ie68b8c0dd9eecbc14a2bb86247b767ea47c6842c\n
7213,"Fix to \make ddmlib ddmuilib\"" under Windows/Cygwin.\n\nNeeded by the latest change to sdk.git/eclipse/script/create_ddms*.sh\n\nChange-Id: I6dfbb418cc8813c7cdfbc077705158424220724f\n"""
7214,Remove Private API Tests for PhoneNumberUtils\n\nIssue 13363\n\ncompareLoosely and compareStrictly are private APIs that should not be\ntested in CTS.\n\nChange-Id: I41d5139f0dbe47c32e66014a0523260c4340de64\n
7215,"Optional \-s\"" to enable sparse ext4 image.\n\nChange-Id: I21c729aae6f6a265c68bb2f701e8de973950994c\n"""
7216,Updated Android build instructions to mention envsetup.sh and lunch.\n\nChange-Id: I3922953766a2162c27d80630736e074a2b3dfb95\n
7217,Product-configurable sparse ext images.\n\nAlso pass extfs sparse image flag to the release tool.\n\nChange-Id: I79a6a71873634a231aa8990cee22374259601505\n
7218,Dont use the default locale when formatting SQL statements\n\nIt is not safe to use the default locale when using String.format\nto produce SQL statements. Some locales will break the SQL\nand as a consequence crash the app.\n\nChange-Id: I2d4eac71a2a33a8fc669b532eef3d9e87f2800c5\n
7219,Use __asm__ instead of asm in public libc headers\n\nIf compiling userland code with -std\u003dc99 the current header produces an\nerror. The content of this header originally is a kernel internal header\nwhere asm() is acceptable. In a header visible to userland this should be\n__asm__ instead.\n\nThis change is done for all newly extracted headers by the extraction\nscript by https://review.source.android.com/19406 which was recently\nmerged.\n\nChange-Id: I69332124a56577673a14e84cd7d9a4462c307724\n
7220,Update BuildVersionTest for 2.2 and 2.2.1\n\nIssue 12692\n\nChange-Id: I4f349b58c9765fad77211d5770f04f2b999b3b25\n
7221,Fix for crash in PathBarLayer::recomputeComponents\n\nThe crash is triggered by our stability test suite. Adding a test\nfor null on the component to follow the pattern from elsewhere\nin the class.\n\njava.lang.NullPointerException\natcom.cooliris.media.PathBarLayer.recomputeComponents(PathBarLayer.java:255)\natcom.cooliris.media.PathBarLayer.pushLabel(PathBarLayer.java:27)\natcom.cooliris.media.GridLayer.setState(GridLayer.java:316)\natcom.cooliris.media.GridInputProcessor.setCurrentSelectedSlot(GridInputProcessor.java:113)\natcom.cooliris.media.GridLayer.setSingleImage(GridLayer.java:1492)\natcom.cooliris.media.Gallery$1.run(Gallery.java:194)\n\nChange-Id: I0c088de34026e0be039e76e0a6107eac093a313e\n
7222,Handle locations with more than 30 chars for lat/lon.\n\nFor some locations more than 30 characters are needed for\nrepresenting the lat/lon information and the null character\nat the end of the string is overwritten.\nThis causes the next member of the struct to be included when\nreading the string which causes a NumberFormatException in\nconvertRationalLatLonToFloat() in ExifInterface.java and a\n0f is returned.\n\nThe size of GpsLongRaw/GpsLatRaw is increased to 72 in\njhead.h since this is the maximum length of the string\ni.e. 11 * 6 + 3(‘/’) + 2(’’) + 1(\\0) \u003d 72 . The length of\neach component is 11 since it is a 32 bit signed number.\nIn gpsinfo.c strncpy will copy at most 71 characters since\nthis is the maximum length of the string.\n\nChange-Id: Id24995ed08aa277681d9648054ebddc2c275f6b6\n
7223,Calendar Sync: Expose Calendar provider class\n\nIn order to make it possible to develop a 3:rd party calendar sync\nadapter we propose to remove the @hide on the android.provider.Calendar\nclass.\n\nChange-Id: I282749aa596666b23d8cd24702bec69793de1253\n
7224,Wi-Fi state is incorrect when enabling Wi-Fi\n\nmLastInfo and mLastState need to be cleared when Wi-Fi is\ndisabled. Without this fix the shown state might be wrong\nwhen enabling Wi-Fi again. This is clearly visible in the\nscenario when the user connects to an AP and then disables\nWi-Fi and then walk out of range. When the user enables\nWi-Fi again it looks like the AP is still connected.\n\nChange-Id: Idc0fe5da248acd50c1b05ac9b93c168db0d701cd\n
7225,tegra: video: host: reset syncpoints on host initialization\n\nAdded syncpoints reset to host initialization to synchronize h/w state\nwith shadow variables.\n\nChange-Id: Ia0a3a644dc5b30ef98158906bcc96954d1c613ff\nAuthor: Alex Frid \u003cafrid@nvidia.com\u003e\nSigned-off-by: Varun Wadekar \u003cvwadekar@nvidia.com\u003e\n
7226,tegra: video: host: fix race condition in hostintr wait list\n\nChange-Id: I5e58f5fe8935741441e2b30f585bb997b6317d3d\nAuthor: Alex Frid \u003cafrid@nvidia.com\u003e\nSigned-off-by: Varun Wadekar \u003cvwadekar@nvidia.com\u003e\n
7227,Fixed memory leak in SkDraw::drawDevMask.\n\nAmi is supposed to free fImage above when ami is out\nof scope. However we have not allocated fImage yet\nand we save reference to NULL and nothing will be freed.\n\nChange-Id: I4c93d11b4d3e9df22ec0dcea705743cb12de57d7\n
7228,Add a hardware control option for LCD backlight auto-brightness\n\nCurrently backlight auto-brightness is controlled\nby light sensor events. However it may cause a battery consumption\nto increase in general. This patch provides an option of\na hardware (backlight device) control directly.\n\nChange-Id: I332d757a5eb1c2e50d864f384f72d6a964bfc9e7\n
7229,Keep full pinyin of the last character of Chinese name instead of initial\n\nOne pinyin initial may match many contacts.\nE.g. looking up BT can get Bai Tao Bai Ting Bi Teng\nBao Tou and etc. So use all characters of the last\ntoken to narrow the lookup results. That means BTao\nfor Bai Tao BTing for Bai Ting BTeng for Bi Teng\nand so on.\n\nChange-Id: I8d4cefb50edb7ebb98c202b82f02f72e26843f8c\n
7230,[ARM] tegra: add tegra_wdt_device to devices.c\n\nChange-Id: I8098fa38ebef8636a6eeb1179e679201445e5237\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
7231,watchdog: add tegra_wdt driver\n\nadd a driver for the hardware watchdog timer embedded in NVIDIA\nTegra SoCs\n\nChange-Id: I45bc829f26f350143d5a07e1f4ddc46d24f3a54c\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
7232,fs: partitions: Add support for named partitions\n\nAdds a new file in /sys/block/\u003cblock\u003e/\u003cpartition\u003e called partition_name\nthat contains the name of the partition if specified by the partition\nhandler.\n\nChange-Id: I6648ed95eabefd1d00edbfdfd99eeb971d15f4b3\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
7233,Add Delay to ThreadTest#test_getState\n\nWait a bit before checking that the thread state is WAITING. A context\nswitch between updating the semaphore\u0027s internal state and invoking wait\ncan cause the test to see that the thread is still RUNNABLE.\n\nChange-Id: Ie0ea934b83e6efe76b721289665bb20a13cd6eea\n
7234,Fix CameraTest#testAccessParameters Assertion\n\nIssue 10800\n\nUse a float assertEquals and swap expected and actual parameters\naround.\n\nChange-Id: I791947c78471d8fdb992843ca66e09333ba0ddec\n
7235,"Prevent adding children into AdapterViews\n\nAs reported in issue 13042 it\u0027s possible to add views into\nAdapterViews such as ListView. This causes a rendering error.\n\nThe root issue is that we were relying on\nElementDescriptor#hasChildren() to determine whether a particular view\nis willing to accept children but that isn\u0027t entirely correct since\nall subclasses of AdapterView (such as ListView Spinner etc) will\nthrow an exception if you do that.\n\nTo fix this I\u0027ve added a new method to DescriptorUtils\n\canInsertChildren\"" which performs additional checking beyond\nhasChildren(). If it has an actual view object it will walk up the\nsuper class chain and see if the view extends AdapterView and if no\nview object is available it will filter out the known subclasses of\nAdapterView (well it doesn\u0027t have to filter out Spinner since that\nclass doesn\u0027t report that it has children).\n\nChange-Id: I663b18fcfbe97a10c8f1aaa2d75552fb8fb148d5\n"""
7236,Write tests for the new ITestRunListener API method\n\nChange-Id: Ieea11742ae23cc30296fcc1cfe477d9814fa4a4e\n
7237,Permitting non-blocking SCO bluetooth socket connection\n\nBluetooth audio might not work if connected devices do not connect\nsuccessfully their SCO sockets. It might happen if an error happens\nduring connection and the bluetooth device which is trying to connect\ngets stucked. The connection cannot be quiclky skipped since the\nexisting implementation is synchronous.\n\nThis fix changed the way the SCO socket is connected by implementing\nnon-blocking mechanism to permit interrupting the connection process\nusing the signaling socketpair so SCO connection try can be stopped\nand new tries can be done later.\n\nChange-Id: I65d24e1b64251c3ddfaa953200ac2a6af535020a\n
7238,Initial commit for FreeType plugin based on Font Engine Manager (new approach proposed from Bitstream Inc).\n\nChange-Id: I8e36dd83e035d4c783b3f169750ddcad775cc53d\n
7239,Initial commit for Font Engine Manager. This new approach proposed from Bitstream Inc will allow to plugin any font engine apart from FreeType. This will be very much valuable for the OEMs who may need the different engine than FreeType or a set of engines to support the localization or new font formats. This new proposal allows Android to support more than one font engine dynamically at runtime.\n\nChange-Id: I204905021bd92e8d2bbc97908a5ee669d3a69f3d\n
7240,EFI/GPT: Register named partitions.\n\nChange-Id: If318512de67d3d152192aa66b074427f4e5b5c2e\nSigned-off-by: Todd Poynor \u003ctoddpoynor@google.com\u003e\n
7241,MMC: Increase number of partitions per card from 8 to 16.\n\nChange-Id: Iebbb6c414780ca3eb362ef1f8ef40d8a5b7a9725\nSigned-off-by: Todd Poynor \u003ctoddpoynor@google.com\u003e\n
7242,Fixing the magnetometer test.\n\nChange-Id: I45a90a41c77247c5a19af0b88ef0e44f379ea516\n
7243,Fix MonkeyRunner SDK document generation.\n\nActually generate the documentation at the correct location and also fix\nthe build target name for the SDK documentation build.\n\nChange-Id: I4af31c337d33664f41a20e446729369b7b2082e9\n
7244,Adding support for Bluetooth FTP profile\n\nSee the following android-contrib Google groups post:\nhttp://groups.google.com/group/android-contrib/msg/f48d9d4d28b6dc59\n\nIn order to make support for BT FTP server we need to do changes in\nBluetooth framework files.\n\n* Expand SDP UUID list with FTP UUID\n* Add FTP service record registration on start up.\n\nChange-Id: I5da99548cca6d7f0b8c14e2e0ef4d35f18325680\n\nSigned-off-by: Christian Bejram \u003cchristian.bejram@stericsson.com\u003e\n
7245,Add a missing MUTEX_RELEASE() in ril_event_del\n\nIn the case of (ev-\u003eindex \u003c 0 || ev-\u003eindex \u003e\u003d MAX_FD_EVENTS)\nwe must call MUTEX_RELEASE() before return.\n\nChange-Id: Ic0b21a8e1fbc940c4bfcc1fc8b606536e2484c71\n
7246,Show images during canvas drags\n\nWhen you drag in the canvas show a drag image for the view being\ndragged. The drag image is using 30% translucency such that it does\nnot obscure the drag feedback below it.\n\nWe\u0027re grabbing the image data right out of the rendered scene and just\ncopying out the rectangles for the bounds of each selected item. This\nhas to take the canvas zoom into effect too.\n\nWhile in the zoom code I modified the Zoom In and Zoom Out buttons to\nonly zoom by a factor of 20% rather than 100%.\n\nI cleaned up the Pair class slightly; in an earlier version of this\nfix I was using it to pass back two results from the rectangle\npainting function; I don\u0027t do that anymore but the Pair might as well\nbe cleaned up.\n\n(By the way as suggested in review #19035 I rewrote the FIXME comment\nrelated to resource lookup and put it in this CL rather than revising\nthe other one.)\n\nChange-Id: Iabe6e29c4073252f5046e3c26b56f4e7674a3f3a\n
7247,SDK Manager: Split install logic out of the Archive class.\n\nChange-Id: I669229ad6d8906ca654c9be5e3416360cc7a5fb5\n
7248,Add missing return for requestSMSAcknowledge\n\nOtherwise the error path will always be executed.\n\nChange-Id: I736eb845a354badd628651aff4afe9f3be89fb0e\n
7249,Implement sock_address_list_create2 routine.\n\nThis routine takes socket address in the form of [host:]port and creates array of SockAddress for it.\n\nChange-Id: Ib2d4c1035d109d9d3df100961c4eec728d15e485\n
7250,    Add lock for serialize calls to getWritableDatabase().\n\nChange-Id: I938042eee5b34134765086f2e4b96d5aff7e66d2\n
7251,Separate main.c used to build the emulator from main-ui.c used to build the UI\n\nChange-Id: I1c7baeaa8447fe1df895869bfb6b74631b765845\n
7252,"Add unit test configuration for moreUnit\n\nEclipse doesn\u0027t have a builtin mechanism to jump between a class and\nits test as well as a way to run tests associated with a given\nclass. There is however a plugin for this \moreUnit\"".\n\nOur projects have split off our unit tests in a separate project\nwhich requires some per-project configuration to tell moreUnit where\nto look for tests. This information has to live with the project\nrather than in my workspace so I\u0027m checking in the configuration file\n- it is harmless if you don\u0027t have moreUnit but useful if you do.\n\nChange-Id: Id29c46e2eaa89f2ad530c2b24700db28cc823b3b\n"""
7253,    Move the start of the Listener of AppWidgetHost from onCreate to\n    finishBindingItems to improve Home Screen performance in loading\n    process.\n\nChange-Id: Id16d71eb52989abc8cc31067089b607a9c5dee08\n
7254,    Change HomeScreen behavior when it is loading. Now user can scroll between\n    Home Screens before Home gets fully loaded.\n\nChange-Id: I6d2bec67a71882667d2dcb1d4c5495cb41792f8e\n
7255,    Fix for better performance when swiping through different Home Screen panels.\n\nChange-Id: I8ec3283bd2f7dc52585517b39f6674ae534b7fc3\n
7256,    Fix memory Leak due to SurfaceView not being detached.\n\nChange-Id: If3f3577eaaa33e4043e8a5e6417f663bcaaf6fbb\n
